                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.2329,                 1.0453,                 1.3601,                0.80849,                0.66159,                0.76539,                0.51849,                 1.0804,                0.80171,                   1.27,              0.0014113,              0.0014113,              0.0014113
                    133,                  1.234,                 1.0531,                 1.3636,                0.80681,                0.66231,                0.76551,                0.51879,                 1.0797,                 0.8009,                 1.2693,              0.0013453,              0.0013453,              0.0013453
                    134,                 1.2318,                 1.0449,                 1.3586,                0.80758,                  0.661,                 0.7656,                0.51894,                 1.0795,                0.80038,                 1.2686,              0.0012792,              0.0012792,              0.0012792
                    135,                 1.2307,                 1.0454,                 1.3574,                0.80755,                0.66204,                0.76612,                0.51942,                 1.0789,                0.79964,                 1.2682,              0.0012131,              0.0012131,              0.0012131
                    136,                 1.2255,                 1.0418,                 1.3569,                0.80872,                0.66165,                0.76619,                0.51966,                 1.0787,                0.79935,                 1.2675,              0.0011471,              0.0011471,              0.0011471
                    137,                 1.2225,                 1.0418,                  1.353,                0.80856,                0.66231,                0.76625,                0.51998,                 1.0783,                0.79876,                 1.2667,               0.001081,               0.001081,               0.001081
                    138,                 1.2229,                 1.0378,                 1.3527,                0.80902,                0.66223,                0.76663,                0.52014,                  1.078,                0.79838,                 1.2662,              0.0010149,              0.0010149,              0.0010149
                    139,                 1.2203,                 1.0336,                 1.3549,                0.80932,                0.66212,                0.76667,                0.52031,                 1.0774,                0.79766,                 1.2657,             0.00094887,             0.00094887,             0.00094887
                    140,                  1.218,                 1.0322,                 1.3475,                0.81069,                 0.6622,                0.76718,                0.52092,                 1.0767,                0.79664,                 1.2646,              0.0008828,              0.0008828,              0.0008828
                    141,                 1.0374,                0.79755,                 1.2106,                0.81107,                0.66198,                0.76751,                0.52126,                 1.0755,                0.79557,                 1.2631,             0.00081673,             0.00081673,             0.00081673
                    142,                 1.0278,                0.77915,                 1.2037,                0.80892,                 0.6639,                0.76747,                0.52149,                 1.0748,                 0.7947,                 1.2622,             0.00075067,             0.00075067,             0.00075067
                    143,                 1.0197,                0.76945,                 1.1962,                0.80902,                 0.6655,                0.76788,                0.52207,                 1.0736,                0.79317,                 1.2606,              0.0006846,              0.0006846,              0.0006846
                    144,                 1.0156,                0.76085,                 1.1938,                0.80718,                0.66797,                0.76829,                0.52281,                 1.0727,                0.79187,                 1.2596,             0.00061853,             0.00061853,             0.00061853
                    145,                 1.0107,                0.75738,                 1.1943,                0.80847,                0.66753,                0.76866,                0.52349,                 1.0718,                0.79059,                 1.2588,             0.00055247,             0.00055247,             0.00055247
                    146,                 1.0064,                   0.75,                 1.1884,                0.80921,                0.66753,                0.76887,                0.52389,                 1.0711,                0.78927,                  1.258,              0.0004864,              0.0004864,              0.0004864
                    147,                 1.0061,                0.74726,                 1.1867,                0.81216,                0.66747,                0.76972,                0.52469,                 1.0704,                0.78798,                 1.2573,             0.00042033,             0.00042033,             0.00042033
